"edition","m201903","m201904","m201905","m201906","m201907","m201908","m201909","m201910","m201911","m201912","m202001","m202002","m202003","m202004","m202005","m202006","m202007","m202008","m202009","m202010","m202011","m202012","m202101","m202102","m202103","m202104","m202105","m202106","m202107","m202108","m202109","m202110","m202111","m202112","m202201","m202202","m202203","m202204","m202205","m202206","m202207","m202208","m202209","m202210","m202211","m202212","m202301","m202302","m202303","m202304","m202305","m202306","m202307","m202308","m202309","m202310","m202311","m202312","m202401","m202402","m202403","m202404","m202405","m202406","m202407","m202408","m202409","m202410","m202411","m202412","m202501","m202502","m202503","m202504","m202505","m202506","m202507","m202508","m202509","m202510","m202511","m202512"
"(V.1, N.1, P.4, 2018)","73","16","36","12","9","9","16","25","32","33","32","33","16","14","14","9","9","9","11","15","6","7","8","8","6","19","1","13","6","2","4","6","4","7","5","10","6","10","6","9","13","18","14","7","16","9","10","9","5","0","2","0","8","20","14","10","16","11","18","15","11","9","11","16","18","9","13","9","4","12","12","12","8","5","8","5","1","3","3","1","0","0"
"(V.1, N.2, P.1, 2018)","116","16","7","8","7","12","10","23","19","10","13","25","23","6","12","12","14","34","14","10","8","6","2","5","9","9","5","5","32","6","5","1","0","1","0","6","3","1","5","27","4","7","9","3","1","5","1","7","4","14","12","4","5","6","7","7","2","6","2","1","1","3","1","2","6","2","2","4","1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"(V.1, N.2, P.2, 2018)","66","11","6","11","5","7","22","14","17","13","11","24","8","4","6","0","4","4","16","9","2","4","3","0","0","3","1","2","3","3","1","1","0","2","3","1","2","0","2","3","3","3","4","3","3","2","0","1","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","1","4","2","2","1","0","0","1","1","0","0","1","0","1","1","0","0","0","0"
"(V.1, N.2, P.4, 2018)","211","31","32","53","17","13","30","38","38","30","31","59","38","67","40","54","44","33","8","14","6","19","21","16","15","23","16","25","17","11","3","15","8","11","14","20","8","20","23","23","31","18","36","12","23","14","22","11","6","4","7","18","17","30","10","18","13","10","16","6","12","9","17","20","13","9","4","8","4","13","5","8","2","5","5","2","0","0","0","0","0","0"
"(V.1, N.2, P.5, 2018)","114","30","29","35","32","61","61","95","77","58","48","46","53","51","80","63","46","27","18","26","9","7","8","5","13","25","16","35","25","12","7","23","26","14","10","16","44","40","41","49","29","43","42","37","40","22","22","28","2","1","11","40","19","48","54","48","51","19","10","37","39","30","18","21","18","15","28","37","18","26","9","17","10","14","25","22","16","13","9","3","0","0"
"(V.1, N.2, P.6, 2018)","188","16","21","16","13","14","19","27","44","26","21","37","20","16","22","9","4","4","15","7","2","4","0","6","14","10","2","4","2","1","1","3","6","2","0","0","1","2","4","4","2","9","5","6","10","2","2","3","7","7","7","1","0","3","2","6","2","1","1","0","1","2","0","1","6","3","0","0","1","1","1","0","0","0","0","0","0","0","0","1","0","0"
"(V.1, N.3, P.3, 2018)","1791","16","42","20","15","26","46","56","71","47","29","56","31","30","41","23","13","7","7","8","3","3","0","0","15","22","1","8","2","7","0","2","2","4","2","6","5","12","1","5","9","6","10","0","3","2","0","24","4","3","2","0","1","2","12","6","6","3","2","0","0","1","0","0","3","0","0","5","6","6","0","0","0","1","0","0","1","0","1","2","0","0"
"(V.1, N.3, P.6, 2018)","146","45","20","22","21","15","23","33","71","61","47","61","42","45","43","21","24","21","11","11","3","6","11","29","52","55","21","15","8","3","1","0","2","2","9","16","6","9","4","3","0","3","4","1","4","1","0","1","1","1","0","1","0","1","3","1","2","1","0","1","0","1","0","0","5","1","0","2","2","2","1","1","1","0","0","0","0","1","0","0","0","0"
"(V.1, N.3, P.7, 2018)","82","4","4","3","1","3","4","3","6","12","37","19","7","7","2","2","0","4","5","3","0","2","1","0","6","2","6","0","1","1","0","2","0","4","1","2","5","1","16","3","3","3","3","3","7","3","2","1","1","3","2","3","1","3","2","1","0","4","1","4","4","0","0","0","2","0","0","1","0","0","0","1","3","0","2","0","0","3","0","1","0","0"
"(V.1, N.3, P.9, 2018)","104","13","46","37","20","137","75","76","46","61","44","70","49","34","44","76","79","53","18","16","15","22","21","16","91","112","100","141","96","62","80","145","138","118","67","76","102","139","265","178","84","193","207","157","157","99","50","76","43","113","121","91","76","145","161","127","115","50","33","52","92","85","61","35","23","67","63","112","38","22","15","5","17","15","7","7","4","2","2","3","0","0"
