post,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,total
"(V.1, N.1, P.1, 2018)",193,48,16,6,1,9,15,7,18,25,12,36,27,13,12,4,6,2,9,7,1,3,2,0,4,1,1,3,9,4,1,3,1,2,6,3,3,4,3,2,0,2,3,3,0,2,1,0,0,0,0,1,2,5,0,2,543
"(V.1, N.1, P.2, 2018)",58,13,10,11,1,10,7,8,38,18,13,22,2,27,9,26,13,5,9,7,3,2,4,6,12,19,5,17,11,15,2,6,8,2,6,3,11,3,3,0,5,3,9,10,5,0,5,8,2,5,6,5,1,7,6,8,530
"(V.1, N.1, P.3, 2018)",271,41,47,40,31,37,43,46,59,44,55,49,45,38,42,25,10,20,9,9,14,9,9,18,23,27,20,11,1,1,2,4,12,7,10,2,5,4,7,7,1,0,71,2,1,0,3,0,0,1,0,1,0,1,0,0,1235
"(V.1, N.1, P.4, 2018)",73,16,36,12,9,9,16,25,32,33,32,33,16,14,14,9,9,9,11,15,6,7,8,8,6,19,1,13,6,2,4,6,4,7,5,10,6,10,6,9,13,18,14,7,16,9,10,9,5,0,2,0,8,20,14,10,721
"(V.1, N.2, P.1, 2018)",116,16,7,8,7,12,10,23,19,10,13,25,23,6,12,12,14,34,14,10,8,6,2,5,9,9,5,5,32,6,5,1,0,1,0,6,3,1,5,27,4,7,9,3,1,5,1,7,4,14,12,4,5,6,7,7,623
"(V.1, N.2, P.2, 2018)",66,11,6,11,5,7,22,14,17,13,11,24,8,4,6,0,4,4,16,9,2,4,3,0,0,3,1,2,3,3,1,1,0,2,3,1,2,0,2,3,3,3,4,3,3,2,0,1,0,0,0,1,0,0,0,0,314
"(V.1, N.2, P.3, 2018)",233,48,60,44,49,46,52,66,68,41,55,65,54,65,89,104,113,108,12,24,34,108,55,88,183,227,125,255,83,60,57,82,149,81,41,36,148,77,113,123,64,80,91,85,112,61,25,47,37,56,88,75,33,74,55,39,4543
"(V.1, N.2, P.4, 2018)",211,31,32,53,17,13,30,38,38,30,31,59,38,67,40,54,44,33,8,14,6,19,21,16,15,23,16,25,17,11,3,15,8,11,14,20,8,20,23,23,31,18,36,12,23,14,22,11,6,4,7,18,17,30,10,18,1472
"(V.1, N.2, P.5, 2018)",114,30,29,35,32,61,61,95,77,58,48,46,53,51,80,63,46,27,18,26,9,7,8,5,13,25,16,35,25,12,7,23,26,14,10,16,44,40,41,49,29,43,42,37,40,22,22,28,2,1,11,40,19,48,54,48,1961
